TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
63201,Glitch,Ended,2015-07-09,52,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.,6.7,359,"Drama, Sci-Fi & Fantasy","cemetery, small town, resurrection, police officer",Glitch,/po8xF3i0A3YbkXRDM64JdgFI8vd.jpg,/soIancCX0rpvB2STEvJAyFzGUBu.jpg,14.3554,en,TV,18,3,https://www.abc.net.au/tv/programs/glitch/,"Patrick Brammall, Emma Booth, Jessica Faulkner",,Glitch: extended trailer
107329,Go Ahead,Ended,2020-08-10,45,"Three friends from troubled families form a unique, lasting bond — but their pasts soon cast a cloud over their lives.",8.41,199,"Drama, Family, Comedy","depression, slice of life, bromance, tragic past, mental illness, child abandonment, meet again, sismance",以家人之名,/75SigmLMhs3x4rA149w2hxT3iXD.jpg,/rFoYY2Idt9Zz76jKNR4TFuZ6kJ9.jpg,19.1925,zh,TV,46,1,,"Tan Songyun, Song Weilong, Zhang Xincheng","Ding Ziguang, Wang Xiongcheng, Shui Qianmo",
87024,Go Live Your Way,Canceled,2019-02-22,40,"Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter.",8.822,76,Drama,"dance, friendship, high school, love, student",GO! Vive a tu Manera,/bRWC8sxTtk3OckT74PlmoeQ32B2.jpg,/cX7O4Y5SjnpDcC8bFt5PA3eLvNB.jpg,10.6,es,TV,30,2,https://www.netflix.com/title/80220541,"Pilar Pascual, José Giménez-Zapiola, Renata Toscano Bruzón",,Go! Live Your Way | Official Trailer [HD] | Netflix Futures
73467,Godless,Ended,2017-11-22,0,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women.",7.759,624,"Western, Drama","gunslinger, new mexico, wanted poster, widow, mining accident, outlaw, gang, shootout, miniseries, mining town, standoff, violence, 1880s, horse wrangler",Godless,/1RUY14vkF9Qqu2sA2amiP7LP9t7.jpg,/3CdnJBsEm2hZffF23wOJtfC0EIq.jpg,16.1289,en,TV,7,1,https://www.netflix.com/title/80097141,"Jack O'Connell, Michelle Dockery, Scoot McNairy",,GODLESS Official Trailer (HD) Jeff Daniels Netflix Western Series
76757,Golden Kamuy,Ended,2018-04-09,24,"In the early twentieth century, Russo-Japanese War veteran Saichi “Immortal” Sugimoto scratches out a meager existence during the postwar gold rush in the wilderness of Hokkaido. When he stumbles across a map to a fortune in hidden Ainu gold, he sets off on a treacherous quest to find it. But Sugimoto is not the only interested party, and everyone who knows about the gold will kill to possess it! Faced with the harsh conditions of the northern wilderness, ruthless criminals and rogue Japanese so...",7.6,75,"Action & Adventure, Animation, Comedy","based on manga, historical, seinen, anime, hokkaido, japan, ainu, 20th century, adventure, gay subtext",ゴールデンカムイ,/8ZH8S7kKQ2WQrQmSj6JDLojiBEF.jpg,/6qwbib8digp121qA9xj3STeq2KC.jpg,43.8259,ja,TV,49,4,http://kamuy-anime.com,"Chikahiro Kobayashi, Haruka Shiraishi, Takayuki Sugo",,Official Trailer [Subtitled]
157383,Golden Spoon,Ended,2022-09-23,72,"Would you trade your poor but loving family for a life of riches? When Seung Cheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend, he thinks it’s a no-brainer. But life-altering decisions are always accompanied by a sense of doubt, and with only three chances to change his mind, Seung Cheon has to decide which of his two possible futures is worth keeping.",6.9,41,"Drama, Mystery, Sci-Fi & Fantasy","upper class, secret identity, memory loss, class differences, magical object, based on webcomic or webtoon, chaebol",금수저,/1fJcOnUsRlpiCSt3J35T1Ga9UHV.jpg,/zFxqn3zMlH13Ld2JIpYT33oA73S.jpg,11.9137,ko,TV,16,1,https://program.imbc.com/TheGoldenSpoon,"Yook Sung-jae, Lee Jong-won, Jung Chae-yeon","Kim Seon-soo, Yoon Eun-kyung, Song Hyun-wook",
71712,Good Doctor,Ended,2017-09-25,0,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",8.476,12595,Drama,"nurse, san francisco, california, medicine, autism, remake, hospital, asperger's syndrome, medical drama, medical, based on tv series, admiring",The Good Doctor,/luhKkdD80qe62fwop6sdrXK9jUT.jpg,/f3cin9kOz4nOrlYEMxGFQhv4bdN.jpg,75.0216,en,TV,126,7,https://abc.com/shows/the-good-doctor,"Freddie Highmore, Fiona Gubelmann, Will Yun Lee",,Official Trailer
84257,Good Partner,Ended,2016-04-21,0,"Sakisaka Kento is a lawyer with an outstanding career. He seems cool and handsome, but he is a zealous person who will confront things that are unreasonable and wrong head-on. There are times when he values the words of a single person and not a lawyer. Sakisaki is regarded as the ace of the law firm, but his only weak point is a lawyer at the same firm who also happens to be his ex-wife Natsume Yoshie. He has been raising their daughter Mizuki as a single father since their divorce. A stylish l...",6.5,2,Drama,,グッドパートナー 無敵の弁護士,/qVYZwpn14RJrBwbUU5EMgesv8Vv.jpg,,1.0929,ja,TV,9,1,https://www.tv-asahi.co.jp/goodpartner/,"Yutaka Takenouchi, Yasuko Matsuyuki, Kento Kaku",,
61864,Good Witch,Canceled,2015-02-28,43,"Cassie Nightingale, Middleton’s favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, ...",7.7,264,"Comedy, Drama, Sci-Fi & Fantasy",witch,Good Witch,/FRthbnY1NaoOzBaB66YcMo8h8M.jpg,/eLNcBfr3212D09aYx0VChy1EpDY.jpg,30.9553,en,TV,68,7,http://www.hallmarkchannel.com/good-witch,"Catherine Bell, James Denton, Catherine Disher",,Good Witch Extended Preview- Premieres February 28th 8/7c
79166,Grand Blue Dreaming,Returning Series,2018-07-14,24,"When Iori Kitahara heads off to college, he decides to live at his uncle's dive shop in Izu named Grand Blue. Iori is looking forward to experiencing college life amidst the roar of the waves, the blazing sun, and his cute cousin who lives with him! However, Iori runs into a group of tough guys playing strip rock-paper-scissors, and ends up joining Peek-a-Boo, the college's diving club!",7.692,133,"Animation, Comedy","diving, sports, based on comic, slice of life, scuba diving, university, drinking, school life, seinen, anime, school club, university student",ぐらんぶる,/ii1yrluzWisy1rygSKz8lJkAkil.jpg,/pJqAgDico7ZTMAfAXyzldYqj5ME.jpg,33.9392,ja,TV,24,2,http://grandblue-anime.com/,"Yuma Uchida, Ryohei Kimura, Chika Anzai",,
