TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
261091,Shiunji-ke no Kodomotachi,Ended,2025-04-08,24,"The Shiunji family with their seven children reside in a mansion within Tokyo’s Setagaya ward. The eldest son, Arata, is tired of being pushed around by his five sisters and daydreams of a life without them. That is, until Arata’s father reveals a shocking truth—Arata isn’t biologically related to his sisters! The siblings’ relationships will be tested as they navigate life in this new light.",7.091,22,"Animation, Comedy","based on comic, romcom, romance, tokyo, japan, based on manga, adopted, seinen, stepsiblings, anime, wealthy family",紫雲寺家の子供たち,/tvhXMejlXyOUo24we09pXSgKw5j.jpg,/kVZcEY6PCeweU4GFWBOnlKAM28L.jpg,4.2149,ja,TV,12,1,https://shiunjifamily.com,"Yuuichirou Umehara, Chika Anzai, Marika Kouno",,Official Trailer [Subtitled]
277222,Ballpark de Tsukamaete,Ended,2025-04-02,24,"To escape his tiring job, weary Murata finds escape at a nearby baseball stadium. While the games are thrilling, it’s Ruriko, the gyaru as cold as the beer she serves but secretly a sweetheart, who keeps him coming back. As her first regular, Murata discovers the warmth behind her frosty demeanor, and their hilarious, heartwarming encounters light up the ballpark and maybe even their hearts.",8.5,4,"Animation, Comedy","workplace, slice of life, based on manga, baseball stadium, working women, anime, workplace comedy, ensemble cast, stadium vendor",ボールパークでつかまえて！,/7yjUOGangKSn6Nj7fQ3kTCGOHpQ.jpg,/zymNlQT3NMJpoKehvJVUU7dyxvI.jpg,2.3257,ja,TV,12,1,https://anime-ballpark.com/,"Fairouz Ai, Satoshi Inomata",,Official Trailer [Subtitled]
258055,Aru Majo ga Shinu Made,Ended,2025-04-01,24,"Meg Raspberry is just an apprentice witch celebrating her 17th birthday. That is, until Faust, her magic teacher and Perennial Witch of the Seven Sages, suddenly reveals she is going to die. To stop the Death Sentence curse, Meg must create the Seed of Life using tears of joy from 1,000 people. Join Meg on her travels as she collects the happy tears from everyone she meets to gain eternal life!",7.375,8,"Animation, Drama, Sci-Fi & Fantasy","witch, anime, based on web novel, based on light novel",ある魔女が死ぬまで,/5Gr2mDFSGHhiEYrNfP6vbYtuNrT.jpg,/vtVEwuQ93jfUMB4ooEbdzv2Ktt5.jpg,2.7236,ja,TV,12,1,https://arumajo-anime.com,"Yoshino Aoyama, Yoshiko Sakakibara, Miharu Hanai",,Official Trailer [Subtitled]
130237,Aharen-san wa Hakarenai,Ended,2022-04-02,24,"Socially awkward Aharen-san has personal boundary issues, either getting too close or too far from her classmates. When fellow student Raido picks up an eraser she drops, Aharen-san decides they’re now best friends. Whether studying, playing the arcade, or just eating lunch—she’s along for the ride. What follows is an impromptu bonding that shows affection can blossom in the unlikeliest of places!",7.3,67,"Animation, Comedy","romance, slice of life, school, based on manga, anime, japanese high school",阿波連さんははかれない,/nt758dS28jXoUNJ49fB1uPjXO2L.jpg,/umSMlEN5RIYzlLvSFI2nfme1W02.jpg,9.8501,ja,TV,24,2,https://aharen-pr.com/,"Inori Minase, Takuma Terashima",,Official Trailer [Subtitled]
254853,Zatsu Tabi -That’s Journey,Ended,2025-04-07,24,"When aspiring manga artist Chika’s storyboards get rejected, she ditches her desk for an adventure! Armed with a quirky social media poll, she sets off on a spontaneous journey of random crowdsourced destinations. From hilarious mishaps to heartwarming encounters, Chika discovers inspiration, friendship, and herself, one unpredictable stop at a time.",8.2,9,"Animation, Drama, Comedy","japan, slice of life, based on manga, journey, seinen, anime, traveling, mangaka, iyashikei, manga artist",ざつ旅 -That's Journey-,/gemDYCOLFZE8RGMxJi433bikPcD.jpg,/oKWd4haFy7P9XzLTW399U3g3d9Y.jpg,1.8167,ja,TV,12,1,https://zatsutabi.com,"Hika Tsukishiro, Sayumi Suzushiro, Sae Hiratsuka",,Official Trailer [Subtitled]
215615,Compass 2.0: Sentou Setsuri Kaiseki System,Ended,2025-04-08,24,"In the combat providence analysis system, ""COMPASS2.0,"" heroes gather alongside human partners in a dreamlike space. The heroes have to keep fighting to produce enough energy to keep the system running. One hero named 13 is a troublemaker who refuses to find a partner. When 13 is nearly kicked out, a new player named Jin agrees to join him. Can they bring peace to the world of #COMPASS2.0?",7.0,1,"Animation, Action & Adventure","based on video game, anime",#コンパス2.0 戦闘摂理解析システム,/fjZLJVG2rWoelRJyhcNWhGjiQ6Y.jpg,/13vMEtm84GTIr1ZvZhDCia6IQFu.jpg,2.2218,ja,TV,12,1,https://www.compass-anime.com,"Daisuke Ono, Sora Amamiya, Soma Saito",,Official Trailer [Subtitled]
262700,Uma Musume: Cinderella Gray,Returning Series,2025-04-06,24,"Unbeknownst to those around her, the staggering potential of this ashen-haired “Beast” will soon catapult her to the national stage—and down the path of a legend. Follow her journey as the gates open on this hot-blooded Cinderella story!",6.7,7,"Animation, Drama","anthropomorphism, based on manga, horse racing, seinen, anime",ウマ娘 シンデレラグレイ,/ncq5uKIcifVITPIYT2G1KpUPMoW.jpg,/kCqOvdTazSJYorYTZMJUrbzcdxW.jpg,8.3468,ja,TV,14,1,https://anime-cinderellagray.com/,"Tomoyo Takayanagi, Momoko Seto, Katsuyuki Konishi",,
270602,Maebashi Witches,Ended,2025-04-06,24,"Welcome to Maebashi City, Gunma Prefecture. For first-year high school student Yuina Akagi, her middling life takes a wild turn the moment a mysterious frog named Keroppe shows up and asks her, “Why don’t you become a witch?” Alongside Azu Niisato, Kyoka Kitahara, Choco Mitsumata, and Mai Kamiizumi, Yuina and her friends are excited to make people’s dreams come true as the Maebashi Witches.",8.333,3,"Animation, Sci-Fi & Fantasy, Drama","anime, magical girl, gunma, japan",前橋ウィッチーズ,/vbWCrKNdmA4QYfijmeKPlyUD3K7.jpg,/ebkXJPFx8LC6rl765QWc3bUftkc.jpg,1.5557,ja,TV,12,1,https://maebashi-witches.com,"Sakura Kasuga, Hinano Sakikawa, Rena Motomura",,Official Trailer [Subtitled]
274737,Ore wa Seikan Kokka no Akutoku Ryoushu,Ended,2025-04-06,24,"After a life of honesty left him betrayed, Liam is reborn into a vast interstellar empire with one goal: be the galaxy’s worst evil lord. But no matter how hard he tries to be a tyrant, his “wicked” plans keep backfiring into peace, prosperity, and adoring fans. Galactic chaos, magic, and mecha await in this hilariously misconstructed tale of a villain who can’t help but to impress.",7.5,10,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy","reincarnation, harem, space, mecha, betrayal, space adventure, anime, intergalactic travel, isekai, revenge thriller",俺は星間国家の悪徳領主！,/lSXLjmpTKRqKfjzCz0YXdvm7o4z.jpg,/ztUSVExmR0NlyIwTVdh9qKK0HEY.jpg,3.0466,ja,TV,12,1,https://seikankokka-anime.com,"Natsuki Hanae, Reina Ueda, Takehito Koyasu",,
249854,Mono,Ended,2025-04-13,0,"Satsuki Amamiya was feeling down due to the graduation of the high school Photography Club’s president. However, her best friend and fellow member An Kiriyama encourages Satsuki to dedicate herself to the newly merged Cinephoto Club. Join Satsuki and An as they set out to track down a missing camera, meet new faces, and capture stunning photos and videos along the way.",8.6,10,"Animation, Comedy","japan, photography, slice of life, food, based on manga, schoolgirl, journey, seinen, anime, school club",mono,/lXsY3KHZptNv7MhMrUYXWjamh7m.jpg,/xDd7eha6XFOO6IQnJ2N4pwt5sYK.jpg,3.2101,ja,TV,12,1,https://mono-weekend.photo,"Haruna Mikawa, Aoi Koga, Hikaru Tono",,Official English Dub Trailer
281042,Hibi wa Sugiredo Meshi Umashi,Ended,2025-04-13,0,"Follow the daily lives of five new undergrad college girls as the eat, laugh, and deepen their friendships. They love delicious, want to have lots of fun together, study hard, and enjoy their college life to the fullest!",8.1,10,"Animation, Comedy","cooking, college, friendship, slice of life, food, university, college student, calm, anime, social anxiety",日々は過ぎれど飯うまし,/3jI8ZHkteqxYEi4xTET3HMQb4zD.jpg,/jjRmHHPjd5lithIzG7gWkIQr5lD.jpg,2.6912,ja,TV,12,1,https://hibimeshi.com/,"Hana Shimano, Ai Kakuma, Yoshino Aoyama",,Official Trailer [Subtitled]
283360,Classic Stars,Ended,2025-04-06,24,"At Gloria Private Academy, where stars are born, Beethoven was a fighter, until music chose him. In the prestigious music department, students who match the talent of legendary musicians inherit their gifts and names. Trading his gloves for melodies, he steps into a world where notes hit harder than fists, determined to win the ultimate competition.",6.0,2,Animation,"anime, music",クラシック★スターズ,/W8rcZSdXpG36BA2jKrYDyBRFVM.jpg,/mLjn1cTTgEBGXXwUAf0vJpi3Kzz.jpg,1.1899,ja,TV,13,1,https://classicstars-anime.com,"Yuma Uchida, Shun Abe, Shoya Ishige",,「クラシック★スターズ」メインPV
41407,Nazotoki wa Dinner no Ato de,Ended,2011-10-18,54,"""The After-Dinner Mysteries"" is a daring mystery with unique characters, play on words and witty conversations.Reiko Hosho is the only daughter to the CEO of a major enterprise, ""Hosho Group,"" known worldwide. Hiding her true identity behind her day time job as a rookie police officer, Reiko comes home to Kageyama, her butler whenever she is faced with a complex case. Being a perfectionist, Kageyama is flawless when it comes to serving meals full course from hors d'oeuvre to dessert. He sharpl...",6.4,9,"Mystery, Comedy",,謎解きはディナーのあとで,/7XbSsNrVNkHJiUWBCn9Rp2PlkB9.jpg,/dzxRIUMvaERSRhfMpSH4rxLG0Fx.jpg,1.2796,ja,TV,10,1,http://www.fujicreative.co.jp/for_buyers/more_info/tabid/106/pdid/357/Default.aspx,"Keiko Kitagawa, Sho Sakurai, Kippei Shiina",,
282666,Guilty Gear Strive: Dual Rulers,Ended,2025-04-05,0,"Sin Kiske, the forbidden child of a human and a magically crafted biological weapon called a Gear, lives in a world where magic has replaced science, and scars from the Gear rebellion remain. Attending his parents’ taboo-breaking wedding, he encounters a mysterious girl with deep hatred for Gears, and their fateful meeting threatens to upend the world once again.",6.5,2,"Animation, Sci-Fi & Fantasy, Action & Adventure","magic, distant future, wedding, based on video game, anime",GUILTY GEAR STRIVE: DUAL RULERS,/tpRogsdGkXhog9q80I0XrOuEA4K.jpg,/7EDiFma8CrnbT9F05xNd50CZZrr.jpg,1.5139,ja,TV,8,1,https://www.guiltygear.com/ggstdr/jp,"Issei Miyazaki, Jouji Nakata, Yui Ishikawa",,Official Trailer [Subtitled]
154494,Lycoris Recoil: Friends Are Thieves of Time.,Ended,2022-07-02,24,"A spirited secret agent and her aloof colleague work in an unassuming, charming cafe while happily helping their customers' out in any way they can.",8.2,188,"Animation, Action & Adventure, Comedy","police state, secret agent, female friendship, secret government organization, slice of life, conspiracy, teenage girl, bromance, cafe, anime",リコリス・リコイル,/hcPLwLGEU4alv9sOWvzSY4IorxV.jpg,/xIBS2ZIvQZbf6xBMzCi3ml2FSyp.jpg,5.5724,ja,TV,13,1,https://lycorisrecoil.com/,"Chika Anzai, Shion Wakayama, Ami Koshimizu",,Official Trailer [Subtitled]
281623,Shirobuta Kizoku desu ga Zense no Kioku ga Haeta node Hiyoko na Otouto Sodatemasu,Ended,2025-04-20,25,"Ageha Kikunoi was a spoiled 5-year-old before he suddenly recalled memories from a past life. Then, he loved to cook, sew, and sing above all else. In this world, Ageha and his younger brother, Regulus, try to navigate the Kikunoi house as corruption among the aristocracy deepens. They’ll need skills from Ageha’s past life, blessings of gods and elves, and magic spells to help them on their way!",8.7,3,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy","magic, reincarnation, nobility, management, shoujo, anime, isekai, person in a strange world, kingdom building, based on light novel",白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます,/cPfb1zRevjNa8cA17D7KszobE2s.jpg,/nYBTmeGJQDJhkFBlKhSfnmK5WF4.jpg,2.5304,ja,TV,12,1,https://shirohiyo.com,"Mariya Ise, Misaki Kuno, Shunichi Toki",,Official Trailer [Subtitled]
129804,Given,Ended,2021-07-27,45,"Xiang Yu Qiu is an orphan. A decade ago, his girlfriend, Luo Ting, died and donated her cornea to a sick 10-year-old girl named Xiang Lian Xin. Now ten years later, Lian Xin has returned to China after finishing a degree overseas. She meets her donor’s younger brother, Luo Rui, who falls in love with her at first sight. However, Lian Xin secretly adores Xiang Yu Qiu, the ex-lover of her cornea donor. Xiang Yu Qiu can’t face Lian Xin – Every time he looks at her, he sees Luo Ting’s eyes. So, he h...",8.0,1,Drama,"transplantation, love",你的名字我的姓氏,/7aRlqDoeIzSIbxr9NPw6exPxPgo.jpg,/j1yu63meBQWwbXyBSONii7atVxN.jpg,1.7216,zh,TV,40,1,https://www.iqiyi.com/v_1rg4i45wgfk.html,"Sophie Zhang, Mi Lu, Zhang Chao","Dawei Li, Ting Yang Kuo","Upcoming Chinese Drama! 你的名字我的姓氏（Ni De Ming Zi Wo De Xing Shi）aka Once Given, Never Forgotten"
